[01:46:30] [INFO] received Windows console close event; shutting log-core down
[02:49:00] [INFO] received Windows console close event; shutting log-core down
[02:50:36] [INFO] received Windows console close event; shutting log-core down
[02:50:54] [INFO] received Windows console close event; shutting log-core down
[02:51:07] [INFO] received Windows console close event; shutting log-core down
[02:51:53] [INFO] received Windows console close event; shutting log-core down
[02:54:49] [INFO] received Windows console close event; shutting log-core down
[02:55:41] [INFO] received Windows console close event; shutting log-core down
[02:57:09] [INFO] received Windows console close event; shutting log-core down
[02:58:02] [INFO] received Windows console close event; shutting log-core down
[03:23:28] [INFO] received Windows console close event; shutting log-core down
[03:47:45] [INFO] received Windows console close event; shutting log-core down
[03:48:36] [INFO] received Windows console close event; shutting log-core down
[03:50:26] [INFO] received Windows console close event; shutting log-core down
[04:13:22] [INFO] received Windows console close event; shutting log-core down
[04:22:07] [INFO] received Windows console close event; shutting log-core down
[04:31:19] [INFO] received Windows console close event; shutting log-core down
[04:57:57] [INFO] received Windows console close event; shutting log-core down
[05:01:37] [INFO] received Windows console close event; shutting log-core down
[05:06:50] [INFO] received Windows console close event; shutting log-core down
[05:23:10] [INFO] received Windows console close event; shutting log-core down
[05:27:56] [INFO] received Windows console close event; shutting log-core down
[07:11:36] [INFO] received Windows console close event; shutting log-core down
[03:28:46] [INFO] received Windows console close event; shutting log-core down
[23:47:20] [INFO] received Windows console close event; shutting log-core down
[23:47:36] [INFO] received Windows console close event; shutting log-core down
[23:48:59] [INFO] received Windows console close event; shutting log-core down
[23:51:24] [INFO] received Windows console close event; shutting log-core down
[23:52:14] [INFO] received Windows console close event; shutting log-core down
[23:59:57] [INFO] received Windows console close event; shutting log-core down
[00:02:48] [INFO] received Windows console close event; shutting log-core down
[00:09:07] [INFO] received Windows console close event; shutting log-core down
[00:09:27] [INFO] received Windows console close event; shutting log-core down
[00:10:32] [INFO] received Windows console close event; shutting log-core down
[00:10:46] [INFO] received Windows console close event; shutting log-core down
